step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
526,CASH_OUT,606920.11,C998785780,606920.11,0.0,C2120671448,16606636.44,17213556.55,1,0
643,TRANSFER,1707.4,C876539224,1707.4,0.0,C1530583472,0.0,0.0,1,0
41,CASH_OUT,62121.56,C1166615212,10643.0,0.0,C1895299052,580040.23,642161.8,0,0
303,CASH_OUT,373240.54,C941756013,43232.0,0.0,C1993826006,123581.86,496822.4,0,0
154,TRANSFER,4530.71,C525094295,4530.71,0.0,C1227140527,0.0,0.0,1,0
184,PAYMENT,3556.83,C581527970,105743.21,102186.38,M890601687,0.0,0.0,0,0
304,PAYMENT,6225.27,C1977400031,0.0,0.0,M406618990,0.0,0.0,0,0
249,TRANSFER,56013.0,C1536825643,56013.0,0.0,C892318279,0.0,0.0,1,0
282,TRANSFER,82076.47,C1838406749,0.0,0.0,C327005372,1116362.34,1198438.81,0,0
201,CASH_OUT,135003.79,C1960276918,169.0,0.0,C533525559,3711191.36,3846195.15,0,0
377,CASH_IN,375525.05,C1911186389,1083626.86,1459151.91,C1368043606,2208185.75,1832660.7,0,0
274,PAYMENT,5255.68,C1418989035,14559.0,9303.32,M1270648005,0.0,0.0,0,0
140,CASH_IN,229148.49,C887216357,6806075.42,7035223.91,C1800155127,239194.0,10045.51,0,0
259,CASH_OUT,102678.01,C1933105247,20832.0,0.0,C2032446127,191062.77,293740.78,0,0
179,PAYMENT,11068.1,C1402100580,24519.0,13450.9,M985033227,0.0,0.0,0,0
180,CASH_IN,20208.52,C62477549,11490.0,31698.52,C567457782,0.0,0.0,0,0
186,TRANSFER,565176.06,C238638300,0.0,0.0,C1659071913,3289025.71,3854201.76,0,0
143,CASH_OUT,110038.42,C1892510321,99805.0,0.0,C2023856876,0.0,110038.42,0,0
162,CASH_IN,389802.6,C426200877,545264.54,935067.14,C290382659,508738.74,118936.14,0,0
20,CASH_OUT,77905.33,C580327130,30519.0,0.0,C1368114983,4868730.28,4946635.61,0,0
396,CASH_IN,95439.56,C513827064,65583.0,161022.56,C1663365715,691934.96,596495.4,0,0
667,CASH_OUT,160901.78,C1648536261,0.0,0.0,C179929698,3782536.62,3943438.4,0,0
250,PAYMENT,12612.6,C2051164851,0.0,0.0,M585170806,0.0,0.0,0,0
258,CASH_IN,193178.69,C1022855917,4805721.38,4998900.07,C1136984181,255715.74,62537.05,0,0
39,CASH_OUT,1648.71,C2099566215,0.0,0.0,C726182342,392858.42,255004.54,0,0
210,CASH_IN,7325.56,C1269475643,3178.0,10503.56,C1936765658,0.0,0.0,0,0
212,DEBIT,2259.85,C1880882793,0.0,0.0,C415211473,80437.74,82697.59,0,0
501,TRANSFER,472808.24,C692473125,472808.24,0.0,C695203021,0.0,0.0,1,0
396,CASH_OUT,51285.79,C1884932093,0.0,0.0,C1109845735,429397.03,480682.82,0,0
394,CASH_OUT,335097.38,C2024922355,39664.0,0.0,C1293635036,261026.81,596124.19,0,0
40,PAYMENT,13414.11,C353656315,0.0,0.0,M1722350934,0.0,0.0,0,0
395,CASH_OUT,180839.46,C1611100459,317151.0,136311.54,C1211168163,41970.98,222810.44,0,0
159,CASH_OUT,101954.79,C164997730,0.0,0.0,C1720963040,1293748.85,1395703.65,0,0
524,CASH_IN,233041.8,C1991708866,651559.28,884601.08,C760227735,405472.81,172431.0,0,0
306,CASH_OUT,231111.99,C841308395,0.0,0.0,C314195573,5852487.9,6083599.88,0,0
284,CASH_IN,240608.65,C11598977,6346444.24,6587052.89,C2084336340,1328942.38,1088333.73,0,0
253,CASH_IN,54945.46,C890895783,2312250.46,2367195.91,C1784347237,120076.78,65131.32,0,0
130,PAYMENT,4346.67,C1763275494,0.0,0.0,M1679422494,0.0,0.0,0,0
187,TRANSFER,1736804.93,C1692442952,1736804.93,0.0,C1950313114,0.0,0.0,1,0
670,PAYMENT,11140.41,C35852468,13352.81,2212.4,M420462870,0.0,0.0,0,0
402,CASH_OUT,12092.28,C507346930,0.0,0.0,C608905227,848224.87,860317.15,0,0
403,CASH_IN,233741.25,C1609094483,1853353.57,2087094.82,C471959248,323390.38,89649.13,0,0
262,CASH_IN,172215.83,C1892617537,45013.0,217228.83,C663611596,205341.36,33125.52,0,0
17,CASH_OUT,129944.73,C1910367307,0.0,0.0,C426416592,11998713.83,12128658.56,0,0
350,CASH_IN,271014.59,C8896560,1904.0,272918.59,C1999776101,566916.56,295901.97,0,0
493,CASH_IN,209953.49,C1127297068,3438343.82,3648297.3,C1443725792,9732969.91,9523016.42,0,0
9,CASH_IN,240545.37,C131435417,842463.13,1083008.5,C188246551,10130908.78,10169639.0,0,0
53,TRANSFER,1631640.02,C443233087,1631640.02,0.0,C1597258791,0.0,0.0,1,0
356,PAYMENT,13017.16,C1137851275,19813.0,6795.84,M1408419180,0.0,0.0,0,0
326,TRANSFER,120214.74,C41154667,120214.74,0.0,C488579069,0.0,0.0,1,0
135,TRANSFER,46813.23,C2111434871,0.0,0.0,C1221355654,976875.78,1023689.01,0,0
305,CASH_OUT,71783.44,C1300376240,0.0,0.0,C309492431,1168412.7,1240196.14,0,0
154,CASH_OUT,4530.71,C831752854,4530.71,0.0,C1379173269,0.0,4530.71,1,0
355,CASH_OUT,80094.99,C1562843404,29466.0,0.0,C240884096,0.0,80094.99,0,0
199,CASH_OUT,80885.48,C2065836466,80885.48,0.0,C582821182,756653.51,837538.99,1,0
525,PAYMENT,40280.1,C1401869724,22437.0,0.0,M582061237,0.0,0.0,0,0
41,CASH_OUT,440329.69,C398441032,10283.0,0.0,C765980478,3214483.11,3654812.8,0,0
180,CASH_OUT,69214.06,C844310054,60192.0,0.0,C325230257,21184.0,90398.06,0,0
106,CASH_OUT,2708906.59,C1012201968,2708906.59,0.0,C1330533329,0.0,2708906.59,1,0
235,PAYMENT,16045.86,C123179967,0.0,0.0,M222997684,0.0,0.0,0,0
408,PAYMENT,26707.65,C402869641,0.0,0.0,M69158416,0.0,0.0,0,0
209,CASH_IN,186730.87,C1442795193,37548.0,224278.87,C436848306,179135.59,0.0,0,0
138,PAYMENT,15427.5,C829919832,0.0,0.0,M764758010,0.0,0.0,0,0
84,TRANSFER,39379.45,C1110566935,39379.45,0.0,C1210547818,0.0,0.0,1,0
282,CASH_IN,22740.13,C595583143,4581.0,27321.13,C1126754611,2069180.82,2046440.69,0,0
277,PAYMENT,24983.03,C1869400438,0.0,0.0,M483824011,0.0,0.0,0,0
70,TRANSFER,167067.78,C1823914087,167067.78,0.0,C1052777709,0.0,0.0,1,0
585,TRANSFER,1298920.78,C1847025661,1298920.78,0.0,C17300850,0.0,0.0,1,0
305,PAYMENT,209.8,C1127578767,33132.15,32922.35,M1969185831,0.0,0.0,0,0
398,PAYMENT,1334.79,C867170424,0.0,0.0,M569694486,0.0,0.0,0,0
401,CASH_IN,186547.49,C1307544455,2836.0,189383.49,C819245534,205695.8,19148.31,0,0
46,CASH_IN,226022.41,C388415324,7460046.1,7686068.52,C463201765,498821.97,272799.55,0,0
165,PAYMENT,7395.51,C1704877037,50763.0,43367.49,M1558100765,0.0,0.0,0,0
12,CASH_IN,335188.85,C288746951,20820.0,356008.85,C1623027152,477159.87,141971.02,0,0
187,PAYMENT,14635.57,C384376599,101515.0,86879.43,M1362368222,0.0,0.0,0,0
225,CASH_IN,261992.63,C1682315943,7767590.72,8029583.34,C2035894925,979852.86,717860.23,0,0
286,PAYMENT,15156.77,C35044238,0.0,0.0,M2088852288,0.0,0.0,0,0
331,PAYMENT,22271.49,C19149196,22259.0,0.0,M1926500030,0.0,0.0,0,0
276,PAYMENT,29.38,C332519889,99273.36,99243.98,M162799624,0.0,0.0,0,0
401,TRANSFER,586949.44,C1480357324,240362.95,0.0,C930723585,7861734.48,8448683.92,0,0
17,CASH_IN,293173.07,C1795680225,45909.0,339082.07,C2147469484,10262.0,0.0,0,0
17,CASH_IN,93111.77,C1960792957,50646.0,143757.77,C2063809141,1568470.74,1475358.97,0,0
328,CASH_OUT,112748.6,C1378507162,467625.34,354876.74,C269203600,7867249.24,7979997.84,0,0
211,CASH_IN,16602.25,C1446552880,142091.0,158693.25,C150541277,66181.18,49578.94,0,0
130,CASH_IN,502479.89,C2049565772,4084.0,506563.89,C1345550794,558042.3,55562.41,0,0
451,PAYMENT,537.06,C2141768610,10836.0,10298.94,M1642252100,0.0,0.0,0,0
86,CASH_OUT,305817.12,C337026029,305817.12,0.0,C1022926752,0.0,305817.12,1,0
13,PAYMENT,2663.55,C73667465,279007.32,276343.78,M947579146,0.0,0.0,0,0
323,PAYMENT,29235.54,C1087400012,0.0,0.0,M2088163703,0.0,0.0,0,0
191,CASH_OUT,18335.89,C381356010,0.0,0.0,C1308408600,2443314.42,2461650.31,0,0
263,PAYMENT,4466.52,C1040550044,13295.0,8828.48,M1698225433,0.0,0.0,0,0
162,CASH_OUT,133603.13,C160212085,46441.0,0.0,C779447471,727966.79,701961.2,0,0
149,CASH_OUT,7188425.25,C1982019124,7188425.25,0.0,C2025892351,781697.03,7970122.27,1,0
639,TRANSFER,711932.67,C1372327870,711932.67,0.0,C608537873,0.0,0.0,1,0
154,CASH_OUT,57892.11,C912441235,0.0,0.0,C1308548424,1153696.13,1211588.24,0,0
190,CASH_IN,133183.37,C1058040582,1480521.19,1613704.56,C1807684216,1263297.02,1130113.65,0,0
356,PAYMENT,31730.86,C53378187,350340.23,318609.36,M1166426659,0.0,0.0,0,0
154,PAYMENT,26735.17,C989943362,21092.05,0.0,M810012281,0.0,0.0,0,0
186,CASH_OUT,95305.27,C1421316626,0.0,0.0,C1883632813,1305786.33,1401091.6,0,0
274,CASH_OUT,136131.42,C254314987,20077.0,0.0,C1363879862,279641.65,415773.07,0,0
469,CASH_IN,18259.88,C2069031303,33843.0,52102.88,C1891861380,3829802.67,3811542.79,0,0
202,TRANSFER,520710.93,C1780848795,0.0,0.0,C94385580,1364927.35,1885638.27,0,0
303,CASH_OUT,459445.6,C307348398,83351.84,0.0,C1096896272,1457079.89,1916525.49,0,0
326,PAYMENT,30353.41,C173534596,5082.0,0.0,M1787547405,0.0,0.0,0,0
401,CASH_OUT,193666.16,C1191254937,181599.0,0.0,C1057884942,1916981.17,2110647.33,0,0
134,PAYMENT,29136.27,C795750535,5071.0,0.0,M1109466944,0.0,0.0,0,0
369,PAYMENT,34397.87,C1981999207,11461.0,0.0,M70976176,0.0,0.0,0,0
42,PAYMENT,15549.89,C2001566532,117096.0,101546.11,M1332121782,0.0,0.0,0,0
278,CASH_OUT,55737.87,C1572391527,42262.0,0.0,C1951530364,26444.53,82182.4,0,0
7,CASH_OUT,45447.15,C459023120,365.99,0.0,C1508631684,107777.0,104710.0,0,0
260,CASH_IN,296865.28,C1809802008,15413.0,312278.28,C2066777507,86543.71,0.0,0,0
281,TRANSFER,1030417.74,C1060613319,1030417.74,0.0,C1653587362,0.0,0.0,1,0
105,TRANSFER,1767112.66,C682978594,1767112.66,0.0,C121024766,0.0,0.0,1,0
139,PAYMENT,4405.99,C1087828116,0.0,0.0,M1477791032,0.0,0.0,0,0
304,CASH_OUT,128209.41,C451474440,0.0,0.0,C951666907,332627.85,460837.25,0,0
287,CASH_OUT,509649.75,C1871628234,0.0,0.0,C565131924,1010814.85,1520464.59,0,0
227,CASH_OUT,373555.09,C1865803401,0.0,0.0,C359887652,704328.29,1077883.38,0,0
404,CASH_OUT,94639.85,C1690363257,0.0,0.0,C570100197,2524543.95,2619183.8,0,0
217,PAYMENT,3477.0,C132545990,13907.0,10430.0,M424784674,0.0,0.0,0,0
36,CASH_OUT,189974.34,C1827853591,321786.39,131812.06,C1040923599,232204.31,422178.64,0,0
207,PAYMENT,4772.27,C307255198,1062.0,0.0,M457802029,0.0,0.0,0,0
358,TRANSFER,819820.59,C783648972,0.0,0.0,C1293491744,3077096.98,3896917.57,0,0
298,PAYMENT,27113.39,C311915577,0.0,0.0,M930299719,0.0,0.0,0,0
250,PAYMENT,6326.13,C2185159,0.0,0.0,M82414598,0.0,0.0,0,0
302,CASH_OUT,126395.32,C206594131,16361.0,0.0,C527294388,1810212.37,1936607.7,0,0
203,CASH_OUT,262402.98,C1638103595,0.0,0.0,C1463347457,2536619.21,2799022.19,0,0
232,CASH_OUT,267503.03,C774665087,0.0,0.0,C694107013,317293.18,584796.21,0,0
230,CASH_OUT,15709.07,C1294275372,0.0,0.0,C563942029,610112.26,625821.34,0,0
330,PAYMENT,155.21,C674611877,724.0,568.79,M1019111623,0.0,0.0,0,0
21,PAYMENT,15335.23,C349000399,55728.97,40393.74,M908782678,0.0,0.0,0,0
349,TRANSFER,98736.52,C1777704750,98736.52,0.0,C1874416454,0.0,0.0,1,0
187,CASH_IN,166800.77,C74736704,72873.0,239673.77,C1667385042,3105206.26,2938405.49,0,0
302,CASH_IN,430069.28,C2059373540,168.0,430237.28,C445137935,527026.2,96956.92,0,0
35,CASH_OUT,278437.52,C897384172,4423.88,0.0,C247505444,13384354.53,13662792.04,0,0
34,CASH_IN,136882.2,C1796131032,2854097.93,2990980.13,C700777364,678357.48,541475.27,0,0
139,CASH_OUT,206872.52,C194723015,11490.0,0.0,C1418141160,149781.35,356653.87,0,0
259,PAYMENT,6357.61,C131261042,586.0,0.0,M1565236652,0.0,0.0,0,0
208,CASH_OUT,66408.47,C806802099,193494.0,127085.53,C783456157,4077190.9,4143599.36,0,0
188,CASH_OUT,169880.76,C1562668477,14713.35,0.0,C827945218,4813599.85,4983480.6,0,0
167,PAYMENT,4590.87,C1395319235,4596.27,5.4,M1002014198,0.0,0.0,0,0
323,CASH_IN,381356.34,C1241586999,5272.0,386628.34,C535869101,931045.98,549689.65,0,0
257,CASH_OUT,274705.44,C1128707073,144220.0,0.0,C1549668026,472914.8,747620.23,0,0
22,CASH_OUT,358930.58,C1764719281,170.0,0.0,C518175837,0.0,358930.58,0,0
275,TRANSFER,2607790.58,C1448180572,2607790.58,0.0,C669935594,0.0,0.0,1,0
178,PAYMENT,30053.81,C2122084794,20497.0,0.0,M199946535,0.0,0.0,0,0
238,TRANSFER,10000000.0,C1028530067,15274773.52,5274773.52,C1390461904,0.0,0.0,1,0
526,CASH_OUT,199940.02,C1503324262,199940.02,0.0,C1528513380,0.0,199940.02,1,0
303,PAYMENT,10052.65,C1137766768,0.0,0.0,M840968889,0.0,0.0,0,0
443,TRANSFER,43159.0,C1373322164,43159.0,0.0,C159626180,0.0,0.0,1,0
345,CASH_OUT,226810.69,C1290358496,0.0,0.0,C1773607107,1428127.96,1654938.65,0,0
299,CASH_IN,44138.89,C810237330,9288.0,53426.89,C1659432060,132505.31,88366.43,0,0
327,CASH_OUT,458006.02,C1279422735,91897.82,0.0,C1606665505,1045267.26,1503273.28,0,0
401,PAYMENT,6218.78,C2097524898,0.0,0.0,M1694213988,0.0,0.0,0,0
36,PAYMENT,435.6,C1139564183,26071.0,25635.4,M1016231028,0.0,0.0,0,0
130,CASH_IN,255443.26,C1808747947,5092639.93,5348083.18,C159192228,1373416.95,1117973.69,0,0
57,TRANSFER,1014816.16,C550185181,1014816.16,0.0,C1007032757,0.0,0.0,1,0
581,CASH_OUT,155002.83,C1511917182,155002.83,0.0,C30026767,0.0,155002.83,1,0
351,PAYMENT,38140.3,C2011884335,0.0,0.0,M606052744,0.0,0.0,0,0
42,PAYMENT,521.1,C1118824675,20116.0,19594.9,M340778261,0.0,0.0,0,0
306,TRANSFER,23206.72,C125898918,6150.46,0.0,C1861004618,2361374.45,2384581.18,0,0
41,CASH_OUT,97162.72,C939546667,0.0,0.0,C1021600035,2455108.32,2569556.09,0,0
322,CASH_IN,59704.81,C1258818856,215777.0,275481.81,C208005892,15826.0,0.0,0,0
652,CASH_OUT,762782.66,C1357888616,762782.66,0.0,C1949432790,0.0,762782.66,1,0
139,PAYMENT,7168.35,C940738985,65451.0,58282.65,M572628421,0.0,0.0,0,0
375,CASH_OUT,88904.46,C890001245,0.0,0.0,C1965797783,129312.52,218216.98,0,0
130,CASH_OUT,29804.21,C1666152771,36520.0,6715.79,C134445473,1102486.74,1132290.95,0,0
139,CASH_OUT,63234.52,C411626779,20977.0,0.0,C1484028731,0.0,63234.52,0,0
162,PAYMENT,1233.93,C722400697,231074.32,229840.4,M1336542616,0.0,0.0,0,0
210,CASH_OUT,150052.52,C1696942015,53227.0,0.0,C2934296,204667.21,354719.72,0,0
33,PAYMENT,21817.48,C86205944,0.0,0.0,M241321982,0.0,0.0,0,0
600,CASH_OUT,612229.86,C199984853,612229.86,0.0,C1428539340,2275776.03,2888005.89,1,0
396,CASH_OUT,128592.78,C1788789108,23959.0,0.0,C973125278,224886.43,353479.2,0,0
132,TRANSFER,1736694.66,C262322377,962.0,0.0,C1668279539,83334.33,1820028.99,0,0
12,CASH_IN,167852.8,C1440998179,3315.0,171167.8,C140892978,739065.43,422434.74,0,0
282,CASH_OUT,178158.53,C152583757,0.0,0.0,C1946042854,5254774.31,5432932.83,0,0
188,CASH_OUT,168469.56,C1793911859,0.0,0.0,C428653951,1163193.4,1331662.96,0,0
463,TRANSFER,219300.76,C60906417,219300.76,0.0,C1482453836,0.0,0.0,1,0
373,CASH_IN,189144.86,C1407515058,17151977.39,17341122.25,C901134982,578805.71,389660.84,0,0
730,CASH_OUT,0.0,C2088151490,0.0,0.0,C1156763710,0.0,0.0,1,0
159,CASH_OUT,413424.93,C1406471755,0.0,0.0,C1288313984,772924.72,1186349.65,0,0
398,CASH_OUT,137678.44,C288766503,0.0,0.0,C43883762,886013.78,1023692.21,0,0
514,CASH_OUT,137605.04,C1580498026,137605.04,0.0,C191934228,0.0,137605.04,1,0
235,PAYMENT,975.42,C1543124039,171641.0,170665.58,M222864661,0.0,0.0,0,0
503,CASH_IN,322600.6,C682074124,734376.29,1056976.89,C1902491379,524988.77,202388.16,0,0
22,PAYMENT,20356.68,C2067816779,0.0,0.0,M1909116850,0.0,0.0,0,0
352,PAYMENT,24778.5,C1067859890,235261.09,210482.59,M1579661437,0.0,0.0,0,0
378,PAYMENT,3303.37,C1458383533,0.0,0.0,M166024027,0.0,0.0,0,0
681,CASH_OUT,158668.39,C940119623,0.0,0.0,C879856647,1158031.11,1316699.5,0,0
127,TRANSFER,701707.89,C1264740364,701707.89,0.0,C1367862566,0.0,0.0,1,0
34,TRANSFER,186618.47,C1563407316,0.0,0.0,C1147488458,565610.54,752229.01,0,0
156,PAYMENT,8917.7,C1747941411,0.0,0.0,M1633093893,0.0,0.0,0,0
327,PAYMENT,45295.11,C1512452698,0.0,0.0,M1288970322,0.0,0.0,0,0
256,CASH_OUT,117273.02,C846095639,48098.0,0.0,C222990646,5027879.98,5421747.38,0,0
226,PAYMENT,1123.66,C211631120,486.0,0.0,M878992672,0.0,0.0,0,0
523,CASH_OUT,921894.19,C1069707218,921894.19,0.0,C1691436572,523285.83,1445180.02,1,0
136,CASH_OUT,151942.38,C234182257,0.0,0.0,C1705232795,157863.02,309805.4,0,0
159,PAYMENT,17215.45,C1450917005,0.0,0.0,M1254004000,0.0,0.0,0,0
203,CASH_OUT,162719.22,C2044782953,0.0,0.0,C1972064887,298770.07,461489.29,0,0
227,CASH_OUT,315349.98,C1674557143,6055.0,0.0,C860828037,163943.18,479293.16,0,0
139,CASH_OUT,151185.52,C28971944,0.0,0.0,C2106544254,610672.35,761857.87,0,0
406,CASH_OUT,32056.56,C538069818,0.0,0.0,C963123541,33151.19,65207.75,0,0
684,TRANSFER,1430050.84,C590147812,1430050.84,0.0,C490830466,0.0,0.0,1,0
545,CASH_IN,351076.96,C1331765673,10376.0,361452.96,C1922225422,20489.03,0.0,0,0
41,CASH_IN,60728.28,C1420277728,401.0,61129.28,C1130411959,3367629.89,3222656.07,0,0
691,TRANSFER,84174.31,C1766174104,84174.31,0.0,C2119229294,0.0,0.0,1,0
209,CASH_OUT,174401.87,C643953858,485356.96,310955.09,C2005649587,4040227.95,4214629.82,0,0
625,CASH_OUT,10000000.0,C138482312,10000000.0,0.0,C1166027089,2160858.93,12160858.93,1,0
25,CASH_OUT,357631.89,C44469141,0.0,0.0,C1403770809,1388866.77,1746498.66,0,0
621,CASH_OUT,193405.1,C1910255307,80931.0,0.0,C1489925086,126258.29,319663.39,0,0
550,PAYMENT,13088.26,C1412468562,9925.0,0.0,M1624444041,0.0,0.0,0,0
331,CASH_IN,66412.86,C444226455,0.0,66412.86,C472805251,2998525.99,2932113.12,0,0
23,PAYMENT,14004.25,C156154265,0.0,0.0,M1390764913,0.0,0.0,0,0
145,TRANSFER,3572736.74,C699121827,3572736.74,0.0,C1252527370,0.0,0.0,1,0
205,CASH_OUT,8459.08,C80531318,52609.0,44149.92,C891192830,2830358.5,2838817.57,0,0
395,CASH_OUT,261388.6,C1256940094,184793.0,0.0,C1580787500,0.0,261388.6,0,0
140,TRANSFER,649968.87,C1136009119,649968.87,0.0,C864356085,0.0,0.0,1,0
12,CASH_IN,257673.25,C863749085,326539.83,584213.08,C1379289710,3569945.35,3545464.58,0,0
402,CASH_OUT,27631.65,C1242784141,19157.0,0.0,C1143259211,0.0,27631.65,0,0
283,PAYMENT,6744.39,C177226263,314179.0,307434.61,M1932184292,0.0,0.0,0,0
307,CASH_IN,24967.53,C1591710387,3117161.22,3142128.74,C1862493046,1223035.12,1198067.6,0,0
132,CASH_IN,113544.91,C1225139972,2051847.64,2165392.55,C352025003,383158.92,269614.01,0,0
130,CASH_OUT,96485.24,C856540536,31245.0,0.0,C1267755697,0.0,96485.24,0,0
188,CASH_OUT,309262.21,C1500276298,243.0,0.0,C1480930371,139709.87,448972.08,0,0
208,CASH_IN,330892.79,C1281559912,99707.0,430599.79,C1618911386,0.0,0.0,0,0
53,CASH_OUT,99139.27,C457849577,99139.27,0.0,C253226648,28766.55,127905.82,1,0
13,CASH_OUT,184135.64,C1541977973,0.0,0.0,C494900781,1314436.67,1245249.47,0,0
210,CASH_IN,40399.1,C67117438,35688.0,76087.1,C1873739758,1175938.6,1135539.5,0,0
88,CASH_OUT,3607917.73,C1513663831,3607917.73,0.0,C1935735129,8391754.13,11999671.85,1,0
301,CASH_IN,144235.55,C1788637453,2317844.1,2462079.65,C1732607973,537188.69,392953.15,0,0
155,CASH_IN,164697.94,C1009774362,1064.0,165761.94,C2107622927,0.0,0.0,0,0
235,PAYMENT,7251.95,C816680586,8028.0,776.05,M1127409572,0.0,0.0,0,0
208,CASH_OUT,176894.73,C241443048,51738.0,0.0,C1547603604,734708.39,911603.11,0,0
333,CASH_IN,257508.88,C527521547,4730185.9,4987694.77,C878158504,372187.09,114678.21,0,0
399,CASH_OUT,253739.66,C1725109565,1308.0,0.0,C2041538319,244257.08,497996.73,0,0
323,CASH_OUT,228442.0,C249224542,311995.0,83553.0,C1271442148,96201.66,324643.65,0,0
13,CASH_IN,8639.65,C1792596724,8159.0,16798.65,C1793525891,124298.79,115659.14,0,0
154,CASH_OUT,316442.98,C340894224,0.0,0.0,C1996463016,1164045.49,1480488.47,0,0
137,CASH_IN,230636.02,C1598475667,32146.0,262782.02,C690263542,12753127.89,12522491.86,0,0
206,PAYMENT,1250.02,C1990272435,4243.0,2992.98,M1357060066,0.0,0.0,0,0
134,PAYMENT,37181.69,C40313572,206877.0,169695.31,M1441635140,0.0,0.0,0,0
355,CASH_IN,67981.04,C1857114566,3576529.21,3644510.25,C539271379,214070.46,146089.42,0,0
188,CASH_IN,244014.63,C1967417479,2055282.18,2299296.81,C847400298,1750337.29,1506322.66,0,0
13,CASH_IN,250936.03,C979693617,13736.0,264672.03,C796774130,0.0,0.0,0,0
161,PAYMENT,21630.8,C1913920446,315682.87,294052.06,M926770870,0.0,0.0,0,0
260,CASH_IN,225693.61,C717299682,5288383.62,5514077.23,C1170518224,1174196.45,948502.84,0,0
333,PAYMENT,10808.06,C489179005,82098.0,71289.94,M1938482168,0.0,0.0,0,0
353,CASH_OUT,318959.69,C1451867592,0.0,0.0,C381043748,3745039.89,4063999.59,0,0
345,CASH_OUT,49934.13,C68295814,0.0,0.0,C1966580256,146082.93,196017.06,0,0
18,CASH_IN,34765.93,C197150024,10601.0,45366.93,C331698141,275760.15,240994.22,0,0
301,PAYMENT,16058.15,C1095517207,395461.4,379403.25,M1466266828,0.0,0.0,0,0
